id,prediction
3,3
6,3
9,3
11,3
12,3
14,4
15,3
16,3
18,3
19,4
21,3
22,3
23,3
24,3
25,3
26,3
27,3
29,3
30,3
33,3
34,3
36,4
37,4
38,3
39,3
40,3
41,3
42,3
43,4
44,3
45,3
47,3
48,3
49,3
50,3
51,4
53,3
55,3
57,3
60,3
61,3
62,3
67,3
68,4
69,3
70,3
75,3
76,3
77,3
78,3
79,3
81,3
82,3
84,3
85,3
86,3
87,4
92,3
93,3
95,3
96,3
97,4
99,3
100,4
101,3
102,3
104,3
106,3
107,4
111,3
114,3
116,3
117,3
118,3
120,3
121,3
123,3
125,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,4
137,3
138,4
139,3
140,3
141,3
142,3
144,4
146,3
147,4
148,3
149,3
150,4
152,3
153,4
154,3
155,3
156,3
157,3
158,4
159,4
160,3
162,3
163,3
165,3
166,3
167,3
168,4
169,3
170,3
174,3
175,4
177,3
178,3
179,3
180,4
182,3
184,4
185,3
186,3
187,3
188,3
190,3
191,3
192,3
193,3
196,3
198,3
202,3
203,3
205,4
206,3
207,4
208,3
209,3
210,3
212,3
213,3
216,3
219,3
222,4
223,3
224,3
225,3
226,3
227,3
229,3
231,3
233,3
234,3
235,3
236,3
237,3
238,3
239,4
240,4
242,4
244,3
246,4
250,3
251,3
254,4
255,3
256,4
257,4
258,3
259,3
260,3
261,3
262,3
263,2
264,3
267,3
270,3
272,4
273,3
274,3
277,3
278,3
280,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
291,3
292,3
293,3
294,3
297,3
298,4
301,3
303,3
304,3
306,3
308,3
309,3
310,3
311,4
312,3
313,3
314,3
315,3
316,3
317,4
318,3
319,3
320,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
335,3
337,4
340,3
342,3
343,3
345,3
347,4
349,3
350,3
351,3
352,3
353,3
354,3
355,4
356,3
357,3
359,3
360,3
361,4
362,3
363,3
365,3
368,4
369,3
370,3
373,3
375,3
376,3
377,3
378,3
379,3
380,3
382,3
383,3
384,3
385,3
386,3
387,4
390,3
391,3
394,3
395,3
397,3
400,3
401,3
402,3
403,4
404,4
405,3
407,3
408,3
409,3
410,3
411,3
413,3
416,3
417,3
419,3
420,3
421,4
423,3
426,3
427,3
429,3
430,3
431,3
432,3
433,4
434,4
436,3
439,3
441,3
443,3
445,3
446,3
447,4
448,3
450,3
452,3
453,3
454,3
455,4
456,3
457,3
458,3
462,3
463,3
464,3
465,3
466,3
467,3
469,3
470,3
471,4
474,3
475,3
477,3
478,3
479,4
480,3
481,3
482,4
483,3
484,3
485,3
486,3
488,4
489,3
490,3
491,3
492,3
493,4
494,3
496,3
497,4
498,3
500,3
501,3
505,4
506,3
508,3
509,3
510,3
511,3
514,3
515,4
516,3
517,3
519,3
520,4
521,3
523,4
525,3
526,3
527,3
528,4
529,3
531,3
532,3
533,3
534,4
536,3
537,3
538,3
542,3
543,4
545,4
546,3
547,3
549,3
550,3
553,3
554,4
555,3
557,3
559,3
560,3
561,3
562,3
565,3
566,3
568,3
569,3
570,4
571,3
572,3
575,3
576,3
579,3
580,3
582,4
583,3
585,3
586,3
589,3
590,3
591,3
593,4
594,3
595,3
597,3
598,3
599,3
600,3
601,3
602,3
604,4
606,3
608,3
609,3
610,3
612,3
614,3
615,3
616,3
617,4
618,3
619,3
620,3
621,3
624,4
627,4
628,3
629,3
