id,prediction
3,3
6,3
9,3
11,3
12,3
14,4
15,3
16,3
18,3
19,4
21,3
22,3
23,3
24,3
25,3
26,3
27,3
29,3
30,4
33,3
34,3
36,4
37,3
38,3
39,3
40,3
41,3
42,3
43,4
44,4
45,3
47,3
48,3
49,3
50,3
51,4
53,3
55,4
57,4
60,3
61,3
62,4
67,3
68,3
69,4
70,3
75,3
76,3
77,3
78,3
79,3
81,3
82,3
84,3
85,4
86,3
87,4
92,3
93,3
95,3
96,4
97,3
99,3
100,3
101,3
102,4
104,4
106,3
107,3
111,3
114,3
116,4
117,3
118,3
120,4
121,3
123,3
125,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
137,3
138,3
139,3
140,3
141,3
142,3
144,3
146,3
147,4
148,3
149,3
150,4
152,4
153,4
154,4
155,3
156,4
157,3
158,3
159,3
160,3
162,3
163,3
165,3
166,3
167,3
168,3
169,3
170,4
174,3
175,4
177,3
178,3
179,4
180,3
182,3
184,4
185,3
186,3
187,3
188,3
190,3
191,3
192,3
193,3
196,3
198,4
202,4
203,3
205,3
206,3
207,4
208,3
209,3
210,3
212,3
213,3
216,3
219,3
222,3
223,3
224,3
225,3
226,4
227,3
229,3
231,3
233,3
234,3
235,4
236,3
237,3
238,3
239,3
240,3
242,3
244,4
246,4
250,3
251,3
254,3
255,3
256,3
257,3
258,4
259,4
260,3
261,3
262,3
263,2
264,3
267,3
270,3
272,3
273,3
274,4
277,4
278,3
280,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
291,3
292,3
293,3
294,3
297,3
298,3
301,3
303,3
304,3
306,3
308,3
309,3
310,3
311,3
312,4
313,3
314,4
315,4
316,3
317,4
318,3
319,3
320,4
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
335,3
337,3
340,3
342,3
343,4
345,4
347,3
349,4
350,3
351,3
352,3
353,3
354,3
355,3
356,4
357,4
359,3
360,4
361,3
362,3
363,3
365,3
368,4
369,3
370,4
373,3
375,3
376,3
377,3
378,4
379,3
380,3
382,3
383,4
384,4
385,3
386,3
387,4
390,3
391,3
394,3
395,3
397,4
400,3
401,3
402,4
403,4
404,3
405,3
407,3
408,3
409,4
410,3
411,4
413,3
416,4
417,3
419,3
420,3
421,3
423,4
426,3
427,3
429,4
430,3
431,3
432,3
433,4
434,3
436,3
439,3
441,3
443,4
445,3
446,3
447,3
448,3
450,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
462,3
463,3
464,4
465,3
466,4
467,3
469,3
470,3
471,4
474,3
475,3
477,3
478,4
479,3
480,3
481,4
482,4
483,3
484,3
485,4
486,3
488,3
489,3
490,3
491,3
492,3
493,4
494,3
496,4
497,3
498,3
500,3
501,3
505,4
506,3
508,3
509,3
510,3
511,3
514,3
515,3
516,3
517,3
519,3
520,4
521,3
523,3
525,3
526,3
527,3
528,3
529,3
531,3
532,3
533,3
534,3
536,3
537,3
538,3
542,3
543,3
545,4
546,4
547,3
549,3
550,4
553,3
554,3
555,3
557,3
559,3
560,3
561,3
562,4
565,3
566,4
568,3
569,3
570,4
571,3
572,3
575,3
576,3
579,3
580,3
582,3
583,3
585,3
586,3
589,3
590,3
591,3
593,4
594,4
595,3
597,4
598,3
599,4
600,3
601,3
602,3
604,4
606,3
608,3
609,3
610,3
612,3
614,4
615,4
616,3
617,3
618,3
619,3
620,4
621,3
624,3
627,3
628,3
629,3
